provider,title,offer_text,conditions,discount_percent,offer_url,source_url,fetched_at
Nordstrom Rack,Nordstrom Rack: Clearance Under $50,Clearance Under $50,Clearance items only,,https://www.nordstromrack.com/clearance,https://www.nordstromrack.com/clearance,2026-09-17T06:19:43+00:00
Nordstrom Rack,Nordstrom Rack: Extra 40% Off select clearance,On now: take an extra 40% off select clearance! Also in stores. ALL SALES FINAL. Restrictions apply.,Select clearance,40,https://www.nordstromrack.com/clearance,https://www.nordstromrack.com/clearance,2026-09-17T06:19:43+00:00
Nordstrom Rack,Nordstrom Rack: Extra 40% Off select items,Extra 40% off select items,Select items,40,https://www.nordstromrack.com/clearance,https://www.nordstromrack.com/clearance,2026-09-17T06:19:43+00:00
Nordstrom Rack,Nordstrom Rack: Up To 60% Off select items,Up to 60% off select items,Select items,60,https://www.nordstromrack.com/clearance,https://www.nordstromrack.com/clearance,2026-09-17T06:19:43+00:00
Nordstrom Rack,Nordstrom Rack: Up To 64% Off select items,Up to 64% off select items,Select items,64,https://www.nordstromrack.com/clearance,https://www.nordstromrack.com/clearance,2026-09-17T06:19:43+00:00
Nordstrom Rack,Nordstrom Rack: Up To 66% Off select items,Up to 66% off select items,Select items,66,https://www.nordstromrack.com/clearance,https://www.nordstromrack.com/clearance,2026-09-17T06:19:43+00:00
Nordstrom Rack,Nordstrom Rack: Up To 81% Off select items,Up to 81% off select items,Select items,81,https://www.nordstromrack.com/clearance,https://www.nordstromrack.com/clearance,2026-09-17T06:19:43+00:00
Old Navy,Old Navy: 30% Off Your First Purchase,Cardmember Month Is ON! 30% Off Your First Purchase + Daily Card Offers,Your First Purchase,30,https://oldnavy.gap.com/browse/category.do?cid=26190,https://oldnavy.gap.com/browse/category.do?cid=26190,2026-09-17T06:18:29+00:00
Old Navy,Old Navy: Extra 20% Off Jeans Code: VIP,Card Perk! Extra 20% off Jeans Code: VIP,Jeans Code: VIP,20,https://oldnavy.gap.com/browse/category.do?cid=26190,https://oldnavy.gap.com/browse/category.do?cid=26190,2026-09-17T06:18:29+00:00
Outdoor Research,Outdoor Research: Free Shipping on US orders $125+,Free shipping on US orders $125+,On US orders $125+,,https://www.outdoorresearch.com/collections/sale,https://www.outdoorresearch.com/collections/sale,2026-09-17T06:21:08+00:00
Outdoor Voices,Outdoor Voices: Free Shipping on orders $100+,Free Shipping on orders $100+,On orders $100+,,https://www.outdoorvoices.com/collections/ov-extra,https://www.outdoorvoices.com/collections/ov-extra,2026-09-17T06:22:22+00:00
Outdoor Voices,Outdoor Voices: Free Shipping on orders over $100,Free Shipping on orders over $100 in the U.S.,On orders over $100 in the U,,https://www.outdoorvoices.com/collections/ov-extra,https://www.outdoorvoices.com/collections/ov-extra,2026-09-17T06:22:22+00:00
Outerknown,Outerknown: Free Shipping on Orders $125+,Free Shipping on Orders $125+,On Orders $125+,,https://www.outerknown.com/collections/sale-jeans,https://www.outerknown.com/collections/sale-jeans,2026-09-17T06:21:59+00:00
Perelel,Perelel: 20% Off when you pay it,Get 20% off when you pay it forward.,When you pay it forward,20,https://perelelhealth.com/collections/giveback-sale,https://perelelhealth.com/collections/giveback-sale,2026-09-17T06:59:44+00:00
Saie,Saie: Free Shipping on orders over $50+,Free shipping on orders over $50+ to the contiguous US,On orders over $50+ to the contiguous US,,https://saiehello.com/collections/our-biggest-sale-of-the-year,https://saiehello.com/collections/our-biggest-sale-of-the-year,2026-09-17T06:23:37+00:00
Samsung,"Samsung: Up To 30% Off students, teachers, government, military","Save up to 30% off with exclusive offers for students, teachers, government, military and corporate employees. You could be eligible.","With exclusive offers for students, teachers, government, military and corporate employees",30,https://www.samsung.com/us/offers/,https://www.samsung.com/us/offers/,2026-09-17T06:20:10+00:00
Target,Target: 30% Off women’s tops*,30% 30% off women’s tops*,Women’s tops*,30,https://www.target.com/pl/8675-870877576872189?marketing_id=8675-870877576872189,https://www.target.com/c/top-deals/-/N-4xw74,2026-09-17T06:24:27+00:00
Target,Target: 50% Off chocolate & candy*,BOGO 50% BOGO 50% off chocolate & candy*,Chocolate & candy*,50,https://www.target.com/pl/941468854,https://www.target.com/c/top-deals/-/N-4xw74,2026-09-17T06:24:27+00:00
Target,Target: Up To 30% Off home items* + more,Up to 30% Up to 30% off home items* + more in-store deals,Home items*,30,https://www.target.com/c/home-clearance/-/N-5tg3v,https://www.target.com/c/top-deals/-/N-4xw74,2026-09-17T06:24:27+00:00
Target,Target: Up To 30% Off women’s shoes* Online only,Up to 30% Up to 30% off women’s shoes* Online only.,Women’s shoes* Online only,30,https://www.target.com/pl/449261218,https://www.target.com/c/top-deals/-/N-4xw74,2026-09-17T06:24:27+00:00
